date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index
22-01-2023,210.7875,146.1916667,3315.416667,110.0708333,85.82916667,38.5,1.217916667,5.5,0.4875
23-01-2023,207.6291667,144.2958333,3780.291667,115.0208333,77.925,40.5,1.159583333,3.25,0.591666667
24-01-2023,211.1833333,144.5875,3190.708333,112.6083333,74.60416667,29,2.21875,10.375,0.266666667
25-01-2023,157.8583333,109.225,1755.166667,73.00416667,65.60833333,48.375,2.107083333,3.625,0.36875
26-01-2023,131.2791667,87.25416667,967.9166667,45.9625,44.94583333,60.54166667,0.981666667,17.16666667,0.720833333
27-01-2023,108.1916667,68.35416667,860.6666667,37.25,53.30833333,71.5,0.324583333,27.66666667,0.958333333
28-01-2023,146.05,97.72916667,1383.958333,61.53333333,101.9333333,66.66666667,0.305416667,17.25,1.010416667
29-01-2023,189.0625,128.8041667,1981.75,87.40416667,148.5333333,23.75,1.084166667,12.91666667,0.214583333
30-01-2023,135.9833333,94.2,1231.833333,52.06666667,104.9208333,43.95833333,1.2525,2.666666667,0.372916667
31-01-2023,107.4,68.62083333,920.9166667,43.74583333,57.15833333,47.5,0.444166667,23.83333333,0.895833333
01-02-2023,88.625,54.0625,815.25,34.83333333,41.97916667,66.5,0.2625,30.95833333,0.939583333
02-02-2023,87.37916667,52.875,999.7083333,40.62916667,32.09166667,74.70833333,0.187916667,32.66666667,1.0625
03-02-2023,94.99166667,61.46666667,1252.666667,46.45,39.79166667,66.83333333,0.229166667,19.70833333,1.120833333
04-02-2023,100.0125,63.38333333,847.7916667,35.09583333,58.89583333,79.08333333,0.303333333,25.95833333,1.06875
05-02-2023,101.2333333,64.8125,903.4166667,39.8875,75.70833333,77.5,0.223333333,22.95833333,1.147916667
06-02-2023,204.3958333,136.2208333,1753.083333,95.05416667,163.2708333,50,0.504583333,25.45833333,1.014583333
07-02-2023,123.9916667,79.81666667,1281.5,65.4,52.45,43.625,0.489166667,27.125,1.108333333
08-02-2023,70.50833333,44.10833333,1038.833333,45.15833333,30.55416667,72,0.209166667,20.41666667,1.23125
09-02-2023,105.75,69.88333333,1484.75,76.36666667,49.9,64.04166667,0.382916667,16.04166667,1.052083333
10-02-2023,99.125,64.02083333,1244.416667,68.76666667,52.00833333,54.70833333,0.519166667,20.625,1.03125
11-02-2023,149.1625,96.92083333,1666.25,79.38333333,61.56666667,58.70833333,0.5875,30.29166667,0.91875
12-02-2023,77.6625,46.89166667,688.3333333,37.075,31.17916667,65.58333333,0.27125,29.33333333,1.179166667
13-02-2023,61.75833333,27.3875,544.8333333,28.30416667,20.7375,86.41666667,0.168333333,62.125,1.233333333
14-02-2023,73.86666667,43.36666667,717.25,32.8,39.84583333,87.83333333,0.255,33.08333333,1.21875
15-02-2023,101.6916667,60.10416667,666.3333333,26.35416667,52.5375,108.6666667,0.277083333,44.95833333,1.235416667
